penetration,installed_ev,installed_pv,violation,reason,location,value,search_step,mc_run
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.38047567040866,1,47
0.25,0.154,0,True,Transformer Overloading,0.0,129.3252375464693,2,47
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.56249395926669,3,47
0.0625,0.044,0,False,,,,4,47
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.65724268563609,5,47
0.078125,0.044,0,False,,,,6,47
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.8999512643174,0,48
0.5,0.3080000000000001,0,True,Line Overloading,36.0,103.63699624795883,1,48
0.25,0.154,0,True,Transformer Overloading,0.0,129.13028197015,2,48
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.48249666363554,3,48
0.0625,0.044,0,False,,,,4,48
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.58811845948041,5,48
0.078125,0.044,0,False,,,,6,48
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.8999737782978,0,49
0.5,0.3080000000000001,0,True,Line Overloading,36.0,110.0897501504037,1,49
0.25,0.154,0,True,Transformer Overloading,0.0,129.95009543169652,2,49
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,109.12946026623283,3,49
0.0625,0.044,0,True,Transformer Overloading,0.0,100.03244472517669,4,49
0.03125,0.022,0,False,,,,5,49
0.046875,0.033,0,False,,,,6,49
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90007806200254,0,50
0.5,0.3080000000000001,0,True,Line Overloading,36.0,110.64570412762976,1,50
0.25,0.154,0,True,Transformer Overloading,0.0,129.72908040691053,2,50
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.71825752895808,3,50
0.0625,0.044,0,False,,,,4,50
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.69891790942565,5,50
0.078125,0.044,0,False,,,,6,50
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89998025651346,0,51
0.5,0.3080000000000001,0,True,Line Overloading,36.0,104.07238324696277,1,51
0.25,0.154,0,True,Transformer Overloading,0.0,129.26823197025973,2,51
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.55192488701056,3,51
0.0625,0.044,0,False,,,,4,51
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.79942677860853,5,51
0.078125,0.044,0,False,,,,6,51
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90002688538158,0,52
0.5,0.3080000000000001,0,True,Transformer Overloading,0.0,171.81634230947475,1,52
0.25,0.154,0,True,Transformer Overloading,0.0,129.2912252835851,2,52
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,108.43733174880566,3,52
0.0625,0.044,0,False,,,,4,52
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.57219083004041,5,52
0.078125,0.044,0,False,,,,6,52
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.90007018020867,0,53
0.5,0.3080000000000001,0,True,Line Overloading,36.0,111.09888811142304,1,53
0.25,0.154,0,True,Transformer Overloading,0.0,129.91334002562743,2,53
0.125,0.07699999999999999,0,True,Transformer Overloading,0.0,109.02574550130288,3,53
0.0625,0.044,0,False,,,,4,53
0.09375,0.05499999999999999,0,True,Transformer Overloading,0.0,102.95974674736885,5,53
0.078125,0.044,0,False,,,,6,53
1.0,0.6270000000000003,0,True,Line Overloading,36.0,160.89999185740348,0,54
0.5,0.3080000000000001,0,True,Line Overloading,36.0,118.52069727827592,1,54
0.25,0.154,0,True,Transformer Overloading,0.0,129.77845771212392,2,54
